Match found - Buyer: 1, Seller: 2, Price: 1, Quantity: 1
Match found - Buyer: 3, Seller: 4, Price: 3, Quantity: 1
Match found - Buyer: 5, Seller: 6, Price: 5, Quantity: 1
Match found - Buyer: 7, Seller: 8, Price: 7, Quantity: 1
Match found - Buyer: 9, Seller: 10, Price: 9, Quantity: 1
Match found - Buyer: 11, Seller: 12, Price: 11, Quantity: 1
Match found - Buyer: 13, Seller: 14, Price: 13, Quantity: 1
Match found - Buyer: 15, Seller: 16, Price: 15, Quantity: 1
Match found - Buyer: 17, Seller: 18, Price: 17, Quantity: 1
Match found - Buyer: 19, Seller: 20, Price: 19, Quantity: 1
Match found - Buyer: 21, Seller: 22, Price: 21, Quantity: 1
Match found - Buyer: 23, Seller: 24, Price: 23, Quantity: 1
Match found - Buyer: 25, Seller: 26, Price: 25, Quantity: 1
Match found - Buyer: 27, Seller: 28, Price: 27, Quantity: 1
Match found - Buyer: 29, Seller: 30, Price: 29, Quantity: 1
Match found - Buyer: 31, Seller: 32, Price: 31, Quantity: 1
Match found - Buyer: 33, Seller: 34, Price: 33, Quantity: 1
Match found - Buyer: 35, Seller: 36, Price: 35, Quantity: 1
Match found - Buyer: 37, Seller: 38, Price: 37, Quantity: 1
Match found - Buyer: 39, Seller: 40, Price: 39, Quantity: 1
Match found - Buyer: 41, Seller: 42, Price: 41, Quantity: 1
Match found - Buyer: 43, Seller: 44, Price: 43, Quantity: 1
Match found - Buyer: 45, Seller: 46, Price: 45, Quantity: 1
Match found - Buyer: 47, Seller: 48, Price: 47, Quantity: 1
Match found - Buyer: 49, Seller: 50, Price: 49, Quantity: 1
Match found - Buyer: 51, Seller: 52, Price: 51, Quantity: 1
Match found - Buyer: 53, Seller: 54, Price: 53, Quantity: 1
Match found - Buyer: 55, Seller: 56, Price: 55, Quantity: 1
Match found - Buyer: 57, Seller: 58, Price: 57, Quantity: 1
Match found - Buyer: 59, Seller: 60, Price: 59, Quantity: 1
Match found - Buyer: 61, Seller: 62, Price: 61, Quantity: 1
Match found - Buyer: 63, Seller: 64, Price: 63, Quantity: 1
Match found - Buyer: 65, Seller: 66, Price: 65, Quantity: 1
Match found - Buyer: 67, Seller: 68, Price: 67, Quantity: 1
Match found - Buyer: 69, Seller: 70, Price: 69, Quantity: 1
Match found - Buyer: 71, Seller: 72, Price: 71, Quantity: 1
Match found - Buyer: 73, Seller: 74, Price: 73, Quantity: 1
Match found - Buyer: 75, Seller: 76, Price: 75, Quantity: 1
Match found - Buyer: 77, Seller: 78, Price: 77, Quantity: 1
Match found - Buyer: 79, Seller: 80, Price: 79, Quantity: 1
Match found - Buyer: 81, Seller: 82, Price: 81, Quantity: 1
Match found - Buyer: 83, Seller: 84, Price: 83, Quantity: 1
Match found - Buyer: 85, Seller: 86, Price: 85, Quantity: 1
Match found - Buyer: 87, Seller: 88, Price: 87, Quantity: 1
Match found - Buyer: 89, Seller: 90, Price: 89, Quantity: 1
Match found - Buyer: 91, Seller: 92, Price: 91, Quantity: 1
Match found - Buyer: 93, Seller: 94, Price: 93, Quantity: 1
Match found - Buyer: 95, Seller: 96, Price: 95, Quantity: 1
Match found - Buyer: 97, Seller: 98, Price: 97, Quantity: 1
Match found - Buyer: 99, Seller: 100, Price: 99, Quantity: 1
